OBJECTID,Australia_test2_CNTRY_NAME,Australia_test2_ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
1,Afghanistan,1,3603886,62.56746628,0,166.8375092,166.8375092,0.023119905,0.720152057,83321.50191
3,Albania,3,177037,3.073559077,0,230.3887329,230.3887329,0.44227069,3.157540897,78298.27615
1,Algeria,1,12298475,213.5151944,0,13629.04785,13629.04785,0.215874032,9.326463623,2654921.391
1,American Samoa,1,784,0.013611111,0,17.59395599,17.59395599,2.132200516,3.042544665,1671.645205
5,Andorra,5,3203,0.05560764,0,140.5668945,140.5668945,2.392326453,9.563511744,7662.62163
1,Angola,1,5979507,103.8108871,-0.038880438,453.9198608,453.9587413,0.032042524,1.029480135,191598.499
3,Anguilla,3,451,0.007829861,0,19.01236343,19.01236343,2.744234964,2.84942147,1237.649969
2,Antarctica,2,998,0.017326389,0,0,0,0,0,0
3,Antarctica,3,138480,2.404166705,0,0,0,0,0,0
3,Antarctica,3,176379,3.062135466,0,2.735583544,2.735583544,0.000408263,0.01970349,72.0090289
2,Antigua and Barbuda,2,2617,0.045434029,0,40.38829422,40.38829422,2.097588203,4.038148845,5489.388328
2,Argentina,2,13882073,241.0082157,-0.008228925,403.0665894,403.0748183,0.169609007,2.757048233,2354524.621
2,Argentina,2,2148364,37.29798671,0,247.2730103,247.2730103,0.797735009,6.901365506,1713825.174
4,Armenia,4,180968,3.141805606,0,114.2856903,114.2856903,0.156469349,1.467783759,28315.94517
1,Aruba,1,960,0.016666667,0,49.82265091,49.82265091,4.816699941,6.390894876,4624.031943
1,Australia,1,40062986,695.5379625,-0.035819989,923.085144,923.120964,0.032671145,0.950247428,1308903.639
6,Austria,6,578260,10.03923627,0,230.1831055,230.1831055,0.532298894,3.016759147,307807.1585
2,Azerbaijan,2,524331,9.102968896,0,286.2443237,286.2443237,0.498777979,3.650122156,261524.7564
5,"Bahamas, The",5,62143,1.078871545,0,136.8224487,136.8224487,0.462784913,3.529289999,28758.84285
7,Bahrain,7,3321,0.057656251,0,245.9377441,245.9377441,49.69960969,52.99846862,165052.4038
17,Baker Island,17,2,3.47222E-05,0,0,0,0,0,0
2,Bangladesh,2,703987,12.22199672,0,200.4248047,200.4248047,0.278734267,1.288526856,196225.3003
8,Barbados,8,2147,0.037274306,0,45.73750305,45.73750305,4.155506765,5.178440621,8921.873023
9,Belgium,9,224378,3.895451451,0,1435.066406,1435.066406,4.145179824,12.50561564,930087.1585
6,Belize,6,107858,1.872534752,0,35.18629074,35.18629074,0.095729847,0.914178689,10325.22988
11,Benin,11,551462,9.573993209,0,74.97245789,74.97245789,0.031054571,0.467502515,17125.41559
4,Bermuda,4,108,0.001875,0.628650665,18.63765526,18.00900459,5.914147724,4.332437942,638.7279541
4,Bhutan,4,209421,3.635781308,0,54.22372818,54.22372818,0.037631891,0.54211712,7880.908302
4,Bolivia,4,4933543,85.65178956,-0.026945012,222.6303253,222.6572703,0.066360692,1.76088136,327393.327
5,Bolivia,5,376159,6.530538299,0,28.79957962,28.79957962,0.005304483,0.227053225,1995.329089
